datetime,total
01.01.2005 00:00:00,?
01.01.2005 01:00:00,154140
01.01.2005 02:00:00,157818
01.01.2005 03:00:00,149311
01.01.2005 04:00:00,138282
01.01.2005 05:00:00,132033
01.01.2005 06:00:00,129193
01.01.2005 07:00:00,131026
01.01.2005 08:00:00,138040
01.01.2005 09:00:00,158872
01.01.2005 10:00:00,189733
01.01.2005 11:00:00,213830
01.01.2005 12:00:00,219684
01.01.2005 13:00:00,216534
01.01.2005 14:00:00,212718
01.01.2005 15:00:00,202339
01.01.2005 16:00:00,200407
01.01.2005 17:00:00,197159
01.01.2005 18:00:00,197123
01.01.2005 19:00:00,198567
01.01.2005 20:00:00,194657
01.01.2005 21:00:00,196617
01.01.2005 22:00:00,200878
01.01.2005 23:00:00,200140
02.01.2005 00:00:00,171760
02.01.2005 01:00:00,145727
02.01.2005 02:00:00,127815
02.01.2005 03:00:00,120269
02.01.2005 04:00:00,117395
02.01.2005 05:00:00,116876
02.01.2005 06:00:00,124876
02.01.2005 07:00:00,135028
02.01.2005 08:00:00,152747
02.01.2005 09:00:00,191487
02.01.2005 10:00:00,228578
02.01.2005 11:00:00,247588
02.01.2005 12:00:00,245732
02.01.2005 13:00:00,236009
02.01.2005 14:00:00,224999
02.01.2005 15:00:00,209800
02.01.2005 16:00:00,208994
02.01.2005 17:00:00,206673
02.01.2005 18:00:00,205666
02.01.2005 19:00:00,205674
02.01.2005 20:00:00,204178
02.01.2005 21:00:00,208003
02.01.2005 22:00:00,208652
02.01.2005 23:00:00,191085
03.01.2005 00:00:00,178704
03.01.2005 01:00:00,147063
03.01.2005 02:00:00,125195
03.01.2005 03:00:00,116742
03.01.2005 04:00:00,112830
03.01.2005 05:00:00,115937
03.01.2005 06:00:00,127810
03.01.2005 07:00:00,139732
03.01.2005 08:00:00,163136
03.01.2005 09:00:00,200893
03.01.2005 10:00:00,234580
03.01.2005 11:00:00,247980
03.01.2005 12:00:00,245142
03.01.2005 13:00:00,239955
03.01.2005 14:00:00,227611
03.01.2005 15:00:00,218839
03.01.2005 16:00:00,215663
03.01.2005 17:00:00,215958
03.01.2005 18:00:00,207991
03.01.2005 19:00:00,212779
03.01.2005 20:00:00,221865
03.01.2005 21:00:00,216224
03.01.2005 22:00:00,228061
03.01.2005 23:00:00,204027
04.01.2005 00:00:00,177276
04.01.2005 01:00:00,147018
04.01.2005 02:00:00,127202
04.01.2005 03:00:00,118487
04.01.2005 04:00:00,116533
04.01.2005 05:00:00,121059
04.01.2005 06:00:00,131882
04.01.2005 07:00:00,148762
04.01.2005 08:00:00,167633
04.01.2005 09:00:00,206783
04.01.2005 10:00:00,238063
04.01.2005 11:00:00,252415
04.01.2005 12:00:00,247419
04.01.2005 13:00:00,237304
04.01.2005 14:00:00,230940
04.01.2005 15:00:00,221025
04.01.2005 16:00:00,220678
04.01.2005 17:00:00,218179
04.01.2005 18:00:00,218460
04.01.2005 19:00:00,218859
04.01.2005 20:00:00,230671
04.01.2005 21:00:00,228877
04.01.2005 22:00:00,222350
04.01.2005 23:00:00,208885
05.01.2005 00:00:00,181284
05.01.2005 01:00:00,146594
05.01.2005 02:00:00,129392
05.01.2005 03:00:00,118012
05.01.2005 04:00:00,116025
05.01.2005 05:00:00,119592
05.01.2005 06:00:00,134051
05.01.2005 07:00:00,149895
05.01.2005 08:00:00,171575
05.01.2005 09:00:00,206144
05.01.2005 10:00:00,239637
05.01.2005 11:00:00,250748
05.01.2005 12:00:00,247072
05.01.2005 13:00:00,241547
05.01.2005 14:00:00,233347
05.01.2005 15:00:00,226833
05.01.2005 16:00:00,223435
05.01.2005 17:00:00,220908
05.01.2005 18:00:00,215209
05.01.2005 19:00:00,220540
05.01.2005 20:00:00,227553
05.01.2005 21:00:00,229437
05.01.2005 22:00:00,226999
05.01.2005 23:00:00,209002
06.01.2005 00:00:00,182444
06.01.2005 01:00:00,146645
06.01.2005 02:00:00,126777
06.01.2005 03:00:00,117431
06.01.2005 04:00:00,114517
06.01.2005 05:00:00,119091
06.01.2005 06:00:00,133502
06.01.2005 07:00:00,149119
06.01.2005 08:00:00,169004
06.01.2005 09:00:00,206834
06.01.2005 10:00:00,238829
06.01.2005 11:00:00,252449
06.01.2005 12:00:00,245827
06.01.2005 13:00:00,240421
06.01.2005 14:00:00,236947
06.01.2005 15:00:00,229101
06.01.2005 16:00:00,227755
06.01.2005 17:00:00,226143
06.01.2005 18:00:00,224946
06.01.2005 19:00:00,230339
06.01.2005 20:00:00,233117
06.01.2005 21:00:00,228498
06.01.2005 22:00:00,226870
06.01.2005 23:00:00,208332
07.01.2005 00:00:00,182896
07.01.2005 01:00:00,148677
07.01.2005 02:00:00,127603
07.01.2005 03:00:00,117810
07.01.2005 04:00:00,112756
07.01.2005 05:00:00,115988
07.01.2005 06:00:00,124545
07.01.2005 07:00:00,135122
07.01.2005 08:00:00,156978
07.01.2005 09:00:00,193327
07.01.2005 10:00:00,226399
07.01.2005 11:00:00,240832
07.01.2005 12:00:00,239510
07.01.2005 13:00:00,231540
07.01.2005 14:00:00,220886
07.01.2005 15:00:00,210419
07.01.2005 16:00:00,205302
07.01.2005 17:00:00,203949
07.01.2005 18:00:00,200223
07.01.2005 19:00:00,205904
07.01.2005 20:00:00,211663
07.01.2005 21:00:00,210623
07.01.2005 22:00:00,214898
07.01.2005 23:00:00,195187
08.01.2005 00:00:00,180532
08.01.2005 01:00:00,148445
08.01.2005 02:00:00,127190
08.01.2005 03:00:00,117312
08.01.2005 04:00:00,114071
08.01.2005 05:00:00,116910
08.01.2005 06:00:00,128019
08.01.2005 07:00:00,140169
08.01.2005 08:00:00,162252
08.01.2005 09:00:00,199043
08.01.2005 10:00:00,235235
08.01.2005 11:00:00,247486
08.01.2005 12:00:00,247015
08.01.2005 13:00:00,245174
08.01.2005 14:00:00,235204
08.01.2005 15:00:00,228276
08.01.2005 16:00:00,222672
08.01.2005 17:00:00,222201
08.01.2005 18:00:00,222509
08.01.2005 19:00:00,224939
08.01.2005 20:00:00,224641
08.01.2005 21:00:00,232127
08.01.2005 22:00:00,229388
08.01.2005 23:00:00,210970
09.01.2005 00:00:00,184486
09.01.2005 01:00:00,149524
